"arcLength", "radius", "height", "normalX", "normalY", "thickness", "thickX", "thickY"
 1455.00100,      500,     1055,    2.000000,0.000000,    29.10002, 29.10002,  0.00000
 1456.00100,      500,     1056,    2.000000,0.000000,    29.12002, 29.12002,  0.00000
 1457.00100,      500,     1057,    2.000000,0.000000,    29.14002, 29.14002,  0.00000
 1458.00100,      500,     1058,    2.000000,0.000000,    29.16002, 29.16002,  0.00000
 1459.00100,      500,     1059,    2.000000,0.000000,    29.18002, 29.18002,  0.00000
 1460.00100,      500,     1060,    2.000000,0.000000,    29.20002, 29.20002,  0.00000
 1461.00100,      500,     1061,    2.000000,0.000000,    29.22002, 29.22002,  0.00000
 1462.00100,      500,     1062,    2.000000,0.000000,    29.24002, 29.24002,  0.00000
 1463.00100,      500,     1063,    2.000000,0.000000,    29.26002, 29.26002,  0.00000
 1464.00100,      500,     1064,    2.000000,0.000000,    29.28002, 29.28002,  0.00000
 1465.00100,      500,     1065,    2.000000,0.000000,    29.30002, 29.30002,  0.00000
 1466.00100,      500,     1066,    2.000000,0.000000,    29.32002, 29.32002,  0.00000
 1467.00100,      500,     1067,    2.000000,0.000000,    29.34002, 29.34002,  0.00000
 1468.00100,      500,     1068,    2.000000,0.000000,    29.36002, 29.36002,  0.00000
 1469.00100,      500,     1069,    2.000000,0.000000,    29.38002, 29.38002,  0.00000
 1470.00100,      500,     1070,    2.000000,0.000000,    29.40002, 29.40002,  0.00000
 1471.00100,      500,     1071,    2.000000,0.000000,    29.42002, 29.42002,  0.00000
 1472.00100,      500,     1072,    2.000000,0.000000,    29.44002, 29.44002,  0.00000
 1473.00100,      500,     1073,    2.000000,0.000000,    29.46002, 29.46002,  0.00000
 1474.00100,      500,     1074,    2.000000,0.000000,    29.48002, 29.48002,  0.00000
 1475.00100,      500,     1075,    2.000000,0.000000,    29.50002, 29.50002,  0.00000
 1476.00100,      500,     1076,    2.000000,0.000000,    29.52002, 29.52002,  0.00000
 1477.00100,      500,     1077,    2.000000,0.000000,    29.54002, 29.54002,  0.00000
 1478.00100,      500,     1078,    2.000000,0.000000,    29.56002, 29.56002,  0.00000
 1479.00100,      500,     1079,    2.000000,0.000000,    29.58002, 29.58002,  0.00000
 1480.00100,      500,     1080,    2.000000,0.000000,    29.60002, 29.60002,  0.00000
 1481.00100,      500,     1081,    2.000000,0.000000,    29.62002, 29.62002,  0.00000
 1482.00100,      500,     1082,    2.000000,0.000000,    29.64002, 29.64002,  0.00000
 1483.00100,      500,     1083,    2.000000,0.000000,    29.66002, 29.66002,  0.00000
 1484.00100,      500,     1084,    2.000000,0.000000,    29.68002, 29.68002,  0.00000
 1485.00100,      500,     1085,    2.000000,0.000000,    29.70002, 29.70002,  0.00000
 1486.00100,      500,     1086,    2.000000,0.000000,    29.72002, 29.72002,  0.00000
 1487.00100,      500,     1087,    2.000000,0.000000,    29.74002, 29.74002,  0.00000
 1488.00100,      500,     1088,    2.000000,0.000000,    29.76002, 29.76002,  0.00000
 1489.00100,      500,     1089,    2.000000,0.000000,    29.78002, 29.78002,  0.00000
 1490.00100,      500,     1090,    2.000000,0.000000,    29.80002, 29.80002,  0.00000
 1491.00100,      500,     1091,    2.000000,0.000000,    29.82002, 29.82002,  0.00000
 1492.00100,      500,     1092,    2.000000,0.000000,    29.84002, 29.84002,  0.00000
 1493.00100,      500,     1093,    2.000000,0.000000,    29.86002, 29.86002,  0.00000
 1494.00100,      500,     1094,    2.000000,0.000000,    29.88002, 29.88002,  0.00000
 1495.00100,      500,     1095,    2.000000,0.000000,    29.90002, 29.90002,  0.00000
 1496.00100,      500,     1096,    2.000000,0.000000,    29.92002, 29.92002,  0.00000
 1497.00100,      500,     1097,    2.000000,0.000000,    29.94002, 29.94002,  0.00000
 1498.00100,      500,     1098,    2.000000,0.000000,    29.96002, 29.96002,  0.00000
 1499.00100,      500,     1099,    1.000000,0.000000,    29.98002, 29.98002,  0.00000
